Doctor's Name,Speciality,Keywords,Experience (Years),Rating,Location,Treated_Diseases,Phone,Email
Dr. Smita Desai,Pediatrician,"Neonatal Care, Premature Babies, Infant Feeding, Growth Monitoring",11,4.8,Hyderabad,"Colic, Reflux",+91 95990 01122,smitadesai@childhealth.com
Dr. Manoj Kapoor,General Physician,"Travel Medicine, Allergy Testing, Smoking Cessation, Weight Management",20,4.3,Pune,"Obesity, Allergies",+91 94778 89900,manojkapoor@healthplus.in
Dr. Anita Verma,Ophthalmologist,"Retinal Diseases, Macular Degeneration, Laser Surgery",7,4.5,Ahmedabad,"Uveitis, Blepharitis",+91 93556 67788,anitaverma@eyecare.com
Dr. Sanjay Sharma,ENT Specialist,"Snoring, Voice Disorders, Balance Disorders",15,4.2,Jaipur,"Meniere's Disease, Rhinitis",+91 92334 45566,sanjaysharma@entdoctor.in
Dr. Deepa Nair,Gastroenterologist,"Inflammatory Bowel Disease (IBD), Colon Cancer Screening, Liver Biopsy",26,4.7,Lucknow,"Hepatitis B, Hepatitis C",+91 91112 23344,deepanair@digestivehealth.com
Dr. Ajay Singh,Cardiologist,"Aortic Stenosis, Mitral Valve Regurgitation, Heart Palpitations, Shortness of Breath",13,4.6,Chandigarh,"Atrial Fibrillation, Cardiac Arrest",+91 98798 76543,ajaysingh@heartcare.com
Dr. Meena Patel,Dermatologist,"Rosacea, Contact Dermatitis, Age Spots, Wrinkles, Skin Rejuvenation",10,4.4,Bhopal,"Actinic Keratosis, Seborrheic Dermatitis",+91 99665 54432,meenapatel@skinsolutions.com
Dr. Vijay Kumar,Neurologist,"Epilepsy, Tremors, Nerve Damage, Muscle Weakness, Dizziness, Vertigo",20,4.8,Indore,"Stroke Rehabilitation, Multiple Sclerosis Relapses",+91 97543 21098,vijaykumar@neurocenter.in
Dr. Shweta Sharma,Gynecologist,"Infertility Treatment, IVF, Laparoscopic Surgery, Hysterectomy",16,4.5,Varanasi,"Polycystic Ovary Syndrome (PCOS), Uterine Fibroids",+91 98432 10987,shwetasharma@gynecology.com
Dr. Ravi Iyer,Orthopedic Surgeon,"Knee Pain, Hip Pain, Shoulder Pain, Joint Replacement, Arthroscopy",29,4.7,Nagpur,"Osteoporosis, Spinal Stenosis",+91 96321 09876,raviiyer@orthopedicspecialist.com
Dr. Deepika Verma,Pediatrician,"Childhood Vaccinations, Fever Management, Cough and Cold, Diarrhea",8,4.9,Visakhapatnam,"Respiratory Syncytial Virus (RSV), Bronchiolitis",+91 95210 98765,deepikaverma@pediatriccare.com
Dr. Sanjay Gupta,General Physician,"Preventive Medicine, Health Check-ups, Diabetes Management, Hypertension",19,4.2,Coimbatore,"Hyperlipidemia, Chronic Kidney Disease",+91 94109 87654,sanjaygupta@healthfirstclinic.com
Dr. Anjali Menon,Ophthalmologist,"Cataract Surgery, Glaucoma Treatment, Diabetic Retinopathy, LASIK",12,4.3,Madurai,"Age-Related Macular Degeneration, Dry Eye Syndrome",+91 93098 76543,anjalimenon@eyedoctor.com
Dr. Rajesh Khanna,ENT Specialist,"Sinus Infections, Allergies, Hearing Loss, Tinnitus, Vertigo",14,4.6,Guwahati,"Deviated Septum, Tonsillitis",+91 92987 65432,rajeshkhanna@entcare.com
Dr. Priya Joshi,Gastroenterologist,"Irritable Bowel Syndrome (IBS), Acid Reflux, Ulcerative Colitis",25,4.8,Thiruvananthapuram,"Crohn's Disease, Celiac Disease",+91 91876 54321,priyajoshi@digestivehealthclinic.com
Dr. Suresh Sharma,Cardiologist,"Angina, Heart Failure, High Blood Pressure, Cholesterol Management",11,4.5,Chandigarh,"Peripheral Artery Disease, Valvular Heart Disease",+91 98112 23344,sureshsharma@cardiocare.com
Dr. Ritu Patel,Dermatologist,"Eczema, Psoriasis, Acne Scar Treatment, Skin Allergies, Warts",7,4.2,Bhopal,"Fungal Infections, Melasma",+91 99998 87766,ritupatel@skincareclinic.com
Dr. Naveen Kumar,Neurologist,"Headaches, Migraines, Stroke, Seizures, Parkinson's Disease",23,4.9,Indore,"Multiple Sclerosis, Amyotrophic Lateral Sclerosis",+91 97776 65544,naveenkumar@neuroclinic.com
Dr. Lakshmi Reddy,Gynecologist,"Prenatal Care, Labor and Delivery, Postpartum Care, Family Planning",15,4.7,Varanasi,"Endometriosis, Polycystic Ovary Syndrome (PCOS)",+91 98887 76655,lakshmireddy@womenshealthcenter.com
Dr. Vikram Iyer,Orthopedic Surgeon,"Fractures, Sprains, Joint Pain, Arthritis, Sports Injuries",35,4.4,Nagpur,"Knee Replacement, Hip Replacement",+91 96665 54433,vikramiyer@orthodoc.com
Dr. Anjali Verma,Pediatrician,"Child Vaccinations, Well-Child Exams, Childhood Illnesses, Nutrition",9,4.6,Visakhapatnam,"Asthma, Allergies",+91 95554 43322,anjaliverma@pediatrician.com
Dr. Rajeev Gupta,General Physician,"Preventive Care, Diabetes Management, Hypertension, Flu Shots",21,4.3,Coimbatore,"Thyroid Disorders, Anemia",+91 94443 32211,rajeevgupta@familyphysician.com
Dr. Sneha Menon,Ophthalmologist,"Cataracts, Glaucoma, Macular Degeneration, Diabetic Retinopathy",13,4.8,Madurai,"Dry Eye Syndrome, Uveitis",+91 93332 21100,snehamenon@eyeclinic.com
Dr. Amit Khanna,ENT Specialist,"Sinusitis, Tonsillitis, Hearing Loss, Tinnitus, Vertigo",17,4.1,Guwahati,"Allergies, Sleep Apnea",+91 92221 10099,amitkhanna@entdoctor.com
Dr. Divya Joshi,Gastroenterologist,"Irritable Bowel Syndrome (IBS), Acid Reflux, Crohn's Disease",28,4.7,Thiruvananthapuram,"Ulcerative Colitis, Liver Diseases",+91 91110 09988,divyajoshi@gastroclinic.com
Dr. Rohan Malhotra,Cardiologist,"Arrhythmia, Chest Pain, High Cholesterol, Heart Valve Problems",14,4.8,Chandigarh,"Atrial Fibrillation, Coronary Artery Disease",+91 98765 43321,rohanmalhotra@heartspecialist.com
Dr. Shreya Singh,Dermatologist,"Acne, Eczema, Psoriasis, Hair Loss, Skin Cancer Screening",12,4.5,Bhopal,"Contact Dermatitis, Rosacea",+91 99876 54432,shreyasingh@dermatologyclinic.com
Dr. Vikas Sharma,Neurologist,"Headaches, Migraines, Epilepsy, Stroke, Parkinson's Disease",26,4.9,Indore,"Multiple Sclerosis, Dementia",+91 97654 32210,vikassharma@neurologycenter.com
Dr. Pooja Reddy,Gynecologist,"Pregnancy, Childbirth, Infertility, Women's Health, Menopause",18,4.6,Varanasi,"Polycystic Ovary Syndrome, Endometriosis",+91 98654 32321,poojareddy@gynecologyclinic.com
Dr. Sunil Iyer,Orthopedic Surgeon,"Fractures, Joint Pain, Arthritis, Sports Injuries, Back Pain",33,4.7,Nagpur,"Knee Replacement, Hip Replacement",+91 96543 21123,suniliyer@orthopedicspecialists.com
Dr. Neha Verma,Pediatrician,"Child Vaccinations, Well-Child Exams, Childhood Illnesses, Nutrition",10,4.4,Visakhapatnam,"Asthma, Allergies",+91 95432 10012,nehaverma@pediatrics.com
Dr. Anil Gupta,General Physician,"Preventive Care, Diabetes Management, Hypertension, Thyroid Problems",22,4.2,Coimbatore,"Respiratory Infections, Anemia",+91 94321 00001,anilgupta@generalmedicine.com
Dr. Meera Menon,Ophthalmologist,"Cataract Surgery, Glaucoma Treatment, Diabetic Retinopathy, LASIK",14,4.8,Madurai,"Dry Eye Syndrome, Macular Degeneration",+91 93210 00009,meeramenon@ophthalmologycenter.com
Dr. Vinay Khanna,ENT Specialist,"Sinusitis, Tonsillitis, Hearing Loss, Tinnitus, Voice Problems",19,4.5,Guwahati,"Allergies, Sleep Apnea",+91 92100 00098,vinaykhanna@entclinic.com
Dr. Shalini Joshi,Gastroenterologist,"Irritable Bowel Syndrome (IBS), Acid Reflux, Crohn's Disease",29,4.6,Thiruvananthapuram,"Ulcerative Colitis, Liver Diseases",+91 91000 00087,shalinijoshi@gastroenterology.com
Dr. Karthik Reddy,Cardiologist,"Heart Failure, Chest Pain, Arrhythmias, Valve Disease, ECG",16,4.7,Chandigarh,"Cardiomyopathy, Pericarditis",+91 98888 87777,karthikreddy@cardiocare.com
Dr. Aishwarya Patel,Dermatologist,"Acne, Eczema, Psoriasis, Skin Infections, Allergies",6,4.3,Bhopal,"Rosacea, Contact Dermatitis",+91 99777 76666,aishwaryapatel@skinhealth.com
Dr. Vikram Singh,Neurologist,"Stroke, Epilepsy, Parkinson's, Dementia, Headaches",24,4.9,Indore,"Multiple Sclerosis, Amyotrophic Lateral Sclerosis",+91 97666 65555,vikramsingh@braindoctor.in
Dr. Priya Sharma,Gynecologist,"Pregnancy, Infertility, PCOS, Menopause, Fibroids",11,4.5,Varanasi,"Endometriosis, Ovarian Cysts",+91 98555 54444,priyasharma@womenshealth.com
Dr. Rohit Iyer,Orthopedic Surgeon,"Fractures, Arthritis, Joint Replacement, Sports Injuries, Back Pain",31,4.6,Nagpur,"Osteoarthritis, Rheumatoid Arthritis",+91 96444 43333,rohithyer@bonesandjoints.com
Dr. Neha Desai,Pediatrician,"Vaccinations, Fever, Cough, Cold, Infections, Asthma",12,4.8,Visakhapatnam,"Chickenpox, Measles, Mumps",+91 95333 32222,nehadesai@childcare.com
Dr. Amit Kapoor,General Physician,"Diabetes, Hypertension, Thyroid, Infections, Flu",19,4.2,Coimbatore,"Common Cold, Influenza, Bronchitis",+91 94222 21111,amitkapoor@healthfirst.in
Dr. Sunita Verma,Ophthalmologist,"Cataracts, Glaucoma, Dry Eyes, Vision Problems, Eye Infections",10,4.4,Madurai,"Macular Degeneration, Diabetic Retinopathy",+91 93111 10000,sunitaverma@eyesight.com
Dr. Sanjay Gupta,ENT Specialist,"Sinusitis, Tonsillitis, Hearing Loss, Ear Infections, Sore Throat",15,4.7,Guwahati,"Adenoiditis, Vertigo",+91 92000 09999,sanjaygupta@earsandthroat.in
Dr. Deepika Nair,Gastroenterologist,"Abdominal Pain, Indigestion, Heartburn, Constipation, Diarrhea",8,4.1,Thiruvananthapuram,"Ulcerative Colitis, Crohn's Disease, GERD",+91 91999 98888,deepikanair@digestivedoctor.com
Dr. Priya Sharma,Cardiologist,"Chest Pain, Palpitations, Shortness of Breath, High Blood Pressure",15,4.8,Mumbai,"Hypertension, Coronary Artery Disease, Arrhythmias",+91 98765 43210,priyasharma@heartcare.com
Dr. Rajesh Kumar,Dermatologist,"Acne, Eczema, Psoriasis, Hair Loss, Skin Infections",8,4.2,Delhi,"Acne, Eczema, Psoriasis, Fungal Infections",+91 99887 76655,rajeshkumar@skinsolutions.in
Dr. Anita Patel,Neurologist,"Headaches, Migraines, Seizures, Stroke, Parkinson's Disease",22,4.9,Bangalore,"Stroke, Epilepsy, Parkinson's Disease, Migraines",+91 97654 32109,anitapatel@brainhealth.com
Dr. Sanjay Verma,General Physician,"Fever, Cold, Cough, Body Aches, Infections",5,3.8,Chennai,"Common Cold, Flu, Viral Infections",+91 98877 66554,sanjayverma@familyclinic.in
Dr. Deepika Reddy,Gynecologist,"Pregnancy, Infertility, Menopause, PCOS",12,4.5,Hyderabad,"PCOS, Infertility, Menstrual Disorders",+91 96543 21098,deepikareddy@womenshealth.com
Dr. Rohan Singh,Orthopedic Surgeon,"Fractures, Joint Pain, Arthritis, Back Pain",18,4.7,Kolkata,"Osteoarthritis, Fractures, Ligament Injuries",+91 95432 10987,rohansingh@bonesurgeon.com
Dr. Meera Joshi,Pediatrician,"Childhood Illnesses, Vaccinations, Growth Monitoring",10,4.6,Pune,"Chickenpox, Measles, Mumps",+91 94321 09876,meerajoshi@kidsclinic.in
Dr. Vikram Iyer,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat, Hearing Loss",7,4.1,Ahmedabad,"Sinusitis, Tonsillitis, Hearing Loss",+91 93210 98765,vikramiyer@entcare.com
Dr. Neha Gupta,Ophthalmologist,"Vision Problems, Cataracts, Glaucoma, Eye Infections",14,4.4,Jaipur,"Cataracts, Glaucoma, Diabetic Retinopathy",+91 92109 87654,nehagupta@eyecare.com
Dr. Amit Sharma,Psychiatrist,"Depression, Anxiety, Insomnia, Schizophrenia",25,5.0,Lucknow,"Depression, Anxiety, Bipolar Disorder",+91 91098 76543,amitsharma@mentalhealth.com
Dr. Divya Nair,Cardiologist,"High Cholesterol, Arrhythmias, Heart Failure, Angina",9,4.3,Mumbai,"Heart Failure, Angina, High Cholesterol",+91 90987 65432,divyanair@heartcare.com
Dr. Suresh Patel,Dermatologist,"Rashes, Allergies, Skin Cancer Screening",3,3.7,Delhi,"Skin Allergies, Rosacea, Warts",+91 98098 76543,sureshpatel@skinsolutions.in
Dr. Kavita Verma,Neurologist,"Multiple Sclerosis, Neuropathy, Epilepsy",28,4.8,Bangalore,"Multiple Sclerosis, Peripheral Neuropathy, Dementia",+91 97087 65432,kavitaverma@brainhealth.com
Dr. Arvind Kumar,General Physician,"Diabetes, Hypertension, Thyroid Problems",16,4.0,Chennai,"Diabetes, Hypertension, Hypothyroidism",+91 96076 54321,arvindkumar@familyclinic.in
Dr. Pooja Singh,Gynecologist,"Prenatal Care, Pap Smears, Hysterectomy",6,4.9,Hyderabad,"Fibroids, Endometriosis, Ovarian Cysts",+91 95065 43210,poojasingh@womenshealth.com
Dr. Vijay Sharma,Orthopedic Surgeon,"Sports Injuries, Knee Replacement, Hip Replacement",32,4.6,Kolkata,"Knee Pain, Hip Pain, Shoulder Pain",+91 94054 32109,vijaysharma@bonesurgeon.com
Dr. Sunita Iyer,Pediatrician,"Asthma, Allergies, Developmental Delays",11,4.7,Pune,"Asthma, Food Allergies, ADHD",+91 93043 21098,sunitaiyer@kidsclinic.in
Dr. Mahesh Gupta,ENT Specialist,"Tinnitus, Vertigo, Hearing Aids",19,4.2,Ahmedabad,"Vertigo, Tinnitus, Deviated Septum",+91 92032 10987,maheshgupta@entcare.com
Dr. Ritu Sharma,Ophthalmologist,"Refractive Surgery, Macular Degeneration",4,3.9,Jaipur,"Conjunctivitis, Dry Eye Syndrome, Myopia",+91 91021 09876,ritusharma@eyecare.com
Dr. Ashok Kumar,Psychiatrist,"OCD, PTSD, Eating Disorders",21,4.5,Lucknow,"OCD, PTSD, Panic Disorder",+91 90010 98765,ashokkumar@mentalhealth.com
Dr. Shalini Nair,Cardiologist,"Valve Disorders, Congenital Heart Disease",13,4.7,Mumbai,"Aortic Stenosis, Mitral Regurgitation",+91 99999 99999,shalinair@heartcare.com
Dr. Rahul Patel,Dermatologist,"Vitiligo, Scar Treatment, Chemical Peels",2,3.5,Delhi,"Melasma, Acne Scars, Sun Damage",+91 98888 88888,rahulpatel@skinsolutions.in
Dr. Preeti Verma,Neurologist,"ALS, Huntington's Disease, Head Trauma",35,4.9,Bangalore,"Amyotrophic Lateral Sclerosis (ALS), Traumatic Brain Injury",+91 97777 77777,preetiverma@brainhealth.com
Dr. Deepak Kumar,General Physician,"Preventative Care, Health Screenings",17,4.1,Chennai,"Routine Check-ups, Vaccinations",+91 96666 66666,deepakkumar@familyclinic.in
Dr. Anjali Singh,Gynecologist,"Fertility Treatments, IVF",7,4.6,Hyderabad,"IVF, IUI, Egg Freezing",+91 95555 55555,anjalisingh@womenshealth.com
Dr. Vivek Sharma,Orthopedic Surgeon,"Spinal Stenosis, Scoliosis",20,4.8,Kolkata,"Lower Back Pain, Sciatica, Herniated Disc",+91 94444 44444,viveksharma@bonesurgeon.com
Dr. Smita Iyer,Pediatrician,"Newborn Care, Feeding Problems",1,4.0,Pune,"Colic, Reflux, Diarrhea",+91 93333 33333,smitaiyer@kidsclinic.in
Dr. Sachin Gupta,ENT Specialist,"Sleep Apnea, Snoring",15,4.3,Ahmedabad,"Deviated Septum, Nasal Polyps, Rhinitis",+91 92222 22222,sachingupta@entcare.com
Dr. Reena Sharma,Ophthalmologist,"Retinal Detachment, Diabetic Eye Disease",10,4.4,Jaipur,"Retinal Detachment, Macular Holes",+91 91111 11111,reenasharma@eyecare.com
Dr. Manish Kumar,Psychiatrist,"Addiction, Bipolar Disorder, Eating Disorders",27,4.7,Lucknow,"Alcohol Use Disorder, Opioid Use Disorder",+91 90000 00000,manishkumar@mentalhealth.com
Dr. Sushma Reddy,Cardiologist,"Heart Murmurs, Congestive Heart Failure, High Cholesterol",6,3.9,Mumbai,"Cardiomyopathy, Pericarditis",+91 98712 34567,sushmareddy@heartcare.com
Dr. Rohan Kapoor,Dermatologist,"Rosacea, Skin Tags, Warts, Moles",14,4.5,Delhi,"Hyperhidrosis, Keloids",+91 99823 45678,rohankapoor@skinsolutions.in
Dr. Neha Sharma,Neurologist,"Tremors, Dizziness, Vertigo, Memory Loss",23,4.8,Bangalore,"Ataxia, Myasthenia Gravis",+91 97634 56789,nehasharma@brainhealth.com
Dr. Vikas Gupta,General Physician,"Urinary Tract Infections, Respiratory Infections, Allergies",9,4.1,Chennai,"Bronchitis, Sinus Infection, Ear Infection",+91 98845 67890,vikasgupta@familyclinic.in
Dr. Divya Iyer,Gynecologist,"Pelvic Pain, Vaginal Infections, Abnormal Bleeding",11,4.6,Hyderabad,"Yeast Infections, Bacterial Vaginosis",+91 96556 78901,divyaiyer@womenshealth.com
Dr. Sanjay Mehta,Orthopedic Surgeon,"Carpal Tunnel Syndrome, Rotator Cuff Tears",29,4.7,Kolkata,"Tennis Elbow, Golfer's Elbow",+91 95467 89012,sanjaymehta@bonesurgeon.com
Dr. Anika Patel,Pediatrician,"Croup, Bronchiolitis, Diarrhea, Vomiting",4,3.8,Pune,"RSV, Strep Throat",+91 94378 90123,anikapatel@kidsclinic.in
Dr. Rajesh Nair,ENT Specialist,"Deviated Septum, Nasal Polyps, Allergies",16,4.2,Ahmedabad,"Laryngitis, Pharyngitis",+91 93289 01234,rajeshnair@entcare.com
Dr. Priya Verma,Ophthalmologist,"Double Vision, Blurred Vision, Eye Pain",7,4.3,Jaipur,"Blepharitis, Chalazion",+91 92190 12345,priyaverma@eyecare.com
Dr. Amit Singh,Psychiatrist,"Panic Attacks, Social Anxiety, Phobias",20,4.9,Lucknow,"Agoraphobia, Specific Phobia",+91 91001 23456,amitsingh@mentalhealth.com
Dr. Sunita Kumar,Cardiologist,"Aortic Aneurysm, Peripheral Artery Disease",10,4.4,Mumbai,Deep Vein Thrombosis (DVT),+91 98765 00000,sunitakumar@heartcare.com
Dr. Vikram Sharma,Dermatologist,"Shingles, Athlete's Foot, Hives",3,3.6,Delhi,"Scabies, Bed Bugs",+91 99887 00000,vikramsharma@skinsolutions.in
Dr. Kavita Patel,Neurologist,"Bell's Palsy, Carpal Tunnel Syndrome (Neurological)",24,4.7,Bangalore,Trigeminal Neuralgia,+91 97654 00000,kavitapatel@brainhealth.com
Dr. Arvind Iyer,General Physician,"Anemia, Osteoporosis, Vitamin Deficiencies",15,4.0,Chennai,Iron Deficiency Anemia,+91 98877 00000,arvindiyer@familyclinic.in
Dr. Pooja Reddy,Gynecologist,"Endometriosis, Uterine Fibroids, Ovarian Cysts",5,4.8,Hyderabad,Pelvic Inflammatory Disease (PID),+91 96543 00000,poojareddy@womenshealth.com
Dr. Vijay Singh,Orthopedic Surgeon,"Ankle Sprains, Plantar Fasciitis, Bunions",31,4.5,Kolkata,Achilles Tendonitis,+91 95432 00000,vijaysingh@bonesurgeon.com
Dr. Sunita Joshi,Pediatrician,"Ear Infections, Sore Throats, Runny Nose",12,4.6,Pune,"Otitis Media, Tonsillitis",+91 94321 00000,sunitajoshi@kidsclinic.in
Dr. Mahesh Verma,ENT Specialist,"Swimmer's Ear, Ruptured Eardrum, Meniere's Disease",17,4.1,Ahmedabad,Cholesteatoma,+91 93210 00000,maheshverma@entcare.com
Dr. Ritu Gupta,Ophthalmologist,"Styes, Dry Eye Syndrome, Conjunctivitis",8,3.8,Jaipur,Uveitis,+91 92109 00000,ritugupta@eyecare.com
Dr. Ashok Sharma,Psychiatrist,"Schizophrenia, Borderline Personality Disorder",22,4.4,Lucknow,Dissociative Identity Disorder (DID),+91 91098 00000,ashoksharma@mentalhealth.com
Dr. Shalini Kapoor,Cardiologist,"Atrial Fibrillation, Mitral Valve Prolapse",11,4.6,Mumbai,Pulmonary Hypertension,+91 98765 44444,shalinikapoor@heartcare.com
Dr. Rahul Verma,Dermatologist,"Contact Dermatitis, Seborrheic Dermatitis",4,3.7,Delhi,Lichen Planus,+91 99887 44444,rahulverma@skinsolutions.in
Dr. Preeti Iyer,Neurologist,"Restless Legs Syndrome, Trigeminal Neuralgia",36,4.8,Bangalore,Cerebral Palsy,+91 97654 44444,preetiiyer@brainhealth.com
Dr. Deepak Patel,General Physician,"Bronchitis, Pneumonia, Strep Throat",18,4.2,Chennai,Sepsis,+91 96543 44444,deepakpatel@familyclinic.in
Dr. Anjali Kumar,Gynecologist,"Hormone Imbalance, Amenorrhea, Dysmenorrhea",8,4.7,Hyderabad,Premenstrual Dysphoric Disorder (PMDD),+91 95432 44444,anjalikumar@womenshealth.com
Dr. Vivek Reddy,Orthopedic Surgeon,"Osteoporosis, Kyphosis, Lordosis",21,4.9,Kolkata,Spondylolisthesis,+91 94321 44444,vivekreddy@bonesurgeon.com
Dr. Smita Singh,Pediatrician,"Chickenpox, Measles, Mumps, Rubella, Whooping Cough",2,4.1,Pune,Roseola,+91 93210 44444,smitasingh@kidsclinic.in
Dr. Sachin Joshi,ENT Specialist,"Chronic Sinusitis, Tonsillectomy, Adenoidectomy",16,4.3,Ahmedabad,Laryngopharyngeal Reflux (LPR),+91 92109 44444,sachinjosh@entcare.com
Dr. Reena Patel,Ophthalmologist,"Amblyopia (Lazy Eye), Strabismus (Crossed Eyes)",9,4.5,Jaipur,Nystagmus,+91 91098 44444,reenapatel@eyecare.com
Dr. Manish Iyer,Psychiatrist,"Obsessive-Compulsive Disorder (OCD), Post-Traumatic Stress Disorder (PTSD), Generalized Anxiety Disorder (GAD)",28,5.0,Lucknow,Hoarding Disorder,+91 90001 23123,manishiyer@mentalhealth.com
Dr. Lakshmi Sharma,Cardiologist,"Palpitations, Angina, High Blood Pressure, Arrhythmias",26,4.6,Mumbai,"Valve Disorders, Heart Failure",+91 91234 56789,lakshmisharma@cardiocare.in
Dr. Arjun Patel,Dermatologist,"Acne, Eczema, Psoriasis, Skin Infections, Rashes",10,4.2,Delhi,"Rosacea, Warts, Moles",+91 99876 54321,arjunpatel@skinclinic.com
Dr. Meera Kapoor,Neurologist,"Headaches, Migraines, Seizures, Stroke, Dementia",17,4.8,Bangalore,"Parkinson's Disease, Multiple Sclerosis",+91 97654 88888,meerakapoor@neurocare.com
Dr. Rohit Verma,General Physician,"Fever, Cold, Cough, Body Aches, Fatigue",5,3.9,Chennai,"Flu, Viral Infections, Bronchitis",+91 98765 99999,rohitverma@familydoc.com
Dr. Priya Iyer,Gynecologist,"Pregnancy, Infertility, Menopause, PCOS, Fibroids",12,4.4,Hyderabad,"Endometriosis, Ovarian Cysts",+91 96543 00001,priyaiyer@womenshealthclinic.com
Dr. Sanjay Singh,Orthopedic Surgeon,"Fractures, Joint Pain, Arthritis, Back Pain, Sports Injuries",19,4.7,Kolkata,"Knee Replacement, Hip Replacement",+91 95432 11111,sanjaysingh@orthopedics.in
Dr. Anita Gupta,Pediatrician,"Childhood Illnesses, Vaccinations, Growth Monitoring, Allergies",7,4.5,Pune,"Asthma, Chickenpox, Measles",+91 94321 22222,anitagupta@pediatrics.com
Dr. Vikram Joshi,ENT Specialist,"Ear Infections, Sinusitis, Sore Throat, Hearing Loss, Tinnitus",14,4.1,Ahmedabad,"Tonsillitis, Adenoiditis",+91 93210 33333,vikramjoshi@entclinic.com
Dr. Neha Reddy,Ophthalmologist,"Vision Problems, Cataracts, Glaucoma, Eye Infections, Dry Eyes",21,4.3,Jaipur,"Diabetic Retinopathy, Macular Degeneration",+91 92109 44444,nehareddy@eyecarecenter.com
Dr. Amit Patel,Psychiatrist,"Depression, Anxiety, Insomnia, Schizophrenia, Bipolar Disorder",29,4.9,Lucknow,"OCD, PTSD",+91 91098 55555,amitpatel@mindmatters.com
Dr. Divya Sharma,Cardiologist,"Chest Pain, Shortness of Breath, Palpitations, Dizziness",3,3.7,Mumbai,"Hypertension, Coronary Artery Disease",+91 98765 66666,divyasharma@cardiologyplus.in
Dr. Suresh Kumar,Dermatologist,"Hair Loss, Skin Cancer Screening, Rashes, Eczema",15,4.6,Delhi,"Psoriasis, Acne",+91 99876 77777,sureshkumar@dermatologycenter.com
Dr. Kavita Verma,Neurologist,"Memory Loss, Tremors, Seizures, Numbness, Weakness",22,4.7,Bangalore,"Parkinson's Disease, Stroke",+91 97654 88888,kavitaverma@neurologyassociates.in
Dr. Arvind Singh,General Physician,"Fever, Cough, Cold, Sore Throat, Body Aches",6,4.0,Chennai,"Flu, Viral Infections",+91 98765 99999,arvindsingh@healthfirstclinic.in
Dr. Pooja Patel,Gynecologist,"Menopause, Infertility, Pregnancy, Painful Periods",9,4.2,Hyderabad,"PCOS, Endometriosis",+91 96543 00001,poojapatel@gynaeclinic.com
Dr. Vijay Kumar,Orthopedic Surgeon,"Joint Pain, Back Pain, Knee Pain, Hip Pain",33,5.0,Kolkata,"Fractures, Sports Injuries",+91 95432 11111,vijaykumar@orthopedicsurgery.com
Dr. Sunita Iyer,Pediatrician,"Vaccinations, Fever, Cough, Cold, Diarrhea",12,4.3,Pune,"Chickenpox, Measles",+91 94321 22222,sunitaiyer@kidshealthcenter.in
Dr. Mahesh Gupta,ENT Specialist,"Hearing Loss, Tinnitus, Sinusitis, Sore Throat",40,4.8,Ahmedabad,"Ear Infections, Deviated Septum",+91 93210 33333,maheshgupta@entcareclinic.com
Dr. Ritu Sharma,Ophthalmologist,"Blurred Vision, Double Vision, Eye Pain, Redness",7,3.6,Jaipur,"Cataracts, Glaucoma",+91 92109 44444,ritusharma@eyedoctors.in
Dr. Ashok Verma,Psychiatrist,"Anxiety, Depression, Stress, Panic Attacks",1,3.5,Lucknow,"Insomnia, OCD",+91 91098 55555,ashokverma@mindwellness.com
---,---,---,---,---,---,---,,
Dr. Priya Sharma,Cardiologist,"Chest Pain, Palpitations, Shortness of Breath, High Cholesterol",15,4.7,Mumbai,"Hypertension, Coronary Artery Disease, Heart Failure",+91 98765 43210,priyasharma@heartcare.com
Dr. Rahul Verma,Dermatologist,"Acne, Eczema, Psoriasis, Skin Infections, Hair Loss",8,4.2,Delhi,"Skin Cancer Screening, Allergic Rashes, Fungal Infections",+91 99876 54321,rahulverma@skinclinic.com
Dr. Anjali Kapoor,Neurologist,"Headaches, Migraines, Seizures, Stroke, Parkinson's",22,4.9,Bangalore,"Epilepsy, Multiple Sclerosis, Neuropathy",+91 97654 32109,anjalikapoor@brainhealth.com
Dr. Sanjay Patel,Gastroenterologist,"Abdominal Pain, Bloating, Constipation, Diarrhea, Acid Reflux",12,4.5,Chennai,"Irritable Bowel Syndrome, Ulcerative Colitis, Crohn's Disease",+91 96543 21098,sanjaypatel@digestivehealth.com
Dr. Deepika Reddy,Endocrinologist,"Diabetes, Thyroid Disorders, Hormonal Imbalance, Weight Gain",10,4.3,Hyderabad,"Polycystic Ovary Syndrome (PCOS), Osteoporosis, Adrenal Disorders",+91 95432 10987,deepikareddy@endocrinecare.com
Dr. Amit Singh,Orthopedic Surgeon,"Knee Pain, Back Pain, Shoulder Pain, Fractures, Arthritis",18,4.8,Kolkata,"Joint Replacement, Sports Injuries, Spinal Stenosis",+91 94321 09876,amitsingh@orthopedicspecialist.com
Dr. Meera Nair,Gynecologist,"Pregnancy, Infertility, Menopause, Pelvic Pain",25,4.6,Pune,"Uterine Fibroids, Ovarian Cysts, Endometriosis",+91 93210 98765,meeranair@womenshealth.com
Dr. Vikram Joshi,Pediatrician,"Fever, Cough, Cold, Vaccination, Growth Monitoring",7,4.1,Ahmedabad,"Asthma, Allergies, Infections",+91 92109 87654,vikramjoshi@childrensclinic.com
